Occurred On (NT),Cleared On (NT),MO Name,Name
03/01/2025 02:56,03/01/2025 02:59,"NodeB Name=GUASAL0479, LogicRNCID=160",NodeB Unavailable
03/01/2025 02:58,03/01/2025 03:00,"NodeB Name=NLEAPO0514, LogicRNCID=140",NodeB Unavailable
03/01/2025 03:28,03/01/2025 12:33,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
03/01/2025 03:28,03/01/2025 12:33,"NodeB Name=DURCNM0431, LogicRNCID=140",NodeB Unavailable
03/01/2025 03:28,03/01/2025 12:33,"NodeB Name=DURLRD0491, LogicRNCID=140",NodeB Unavailable
03/01/2025 04:47,03/01/2025 10:44,"NodeB Name=NLESNG0968, LogicRNCID=140",NodeB Unavailable
03/01/2025 05:45,03/01/2025 05:49,"NodeB Name=NLEMTY0859, LogicRNCID=140",NodeB Unavailable
03/01/2025 06:01,03/01/2025 08:28,"NodeB Name=NLEMTY0804, LogicRNCID=140",NodeB Unavailable
03/01/2025 07:21,03/01/2025 07:23,"NodeB Name=NLEMTY0794, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:12,03/01/2025 09:14,"NodeB Name=HTOR0018, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:12,03/01/2025 09:14,"NodeB Name=COA-4118_281_Revolucion, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:15,03/01/2025 09:22,"NodeB Name=NLEJRZ0703, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:25,03/01/2025 09:32,"NodeB Name=NLEJRZ0703, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ0556, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ1407, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ1405, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ0554, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ0558, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ1404, LogicRNCID=140",NodeB Unavailable
